职位,最高薪资,最低薪资,薪资,全职/兼职,经验,学历,省份,城市,区域,经度,纬度,公司,公司领域,公司规模,公司类型,职位标签,职位描述,职位详情页,公司详情页
AI智能体架构师,35000.0,18000.0,1.8-3.5万·13薪,全职,3-5年,本科,,北京,,116.287145,40.050551,亚信科技（中国）,计算机服务(系统、数据服务、维修),10000人以上,已上市,"3-5年,本科,计算机,数学,封装,数据治理,迭代优化,业务建模,知识图谱,prompt,typescript,外部系统,五险一金,带薪年假,带薪病假,年终奖金,定期体检,免费班车,定期团建,专业培训","职位概述
核心负责 Palantir Ontology 架构与生成式 AI 融合，以业务数字孪生为基座，构建可驱动业务流程的行动式 AI Agent，主导全链路开发，赋能业务、推动AI数字化转型。
核心岗位职责
1.本体架构与业务建模：基于 Palantir 平台，抽象业务实体、设计关联映射，封装 Action 类型，实现业务数字化复刻与智能体交互标准化。
2.AI 智能体开发：设计 Agent 推理链，优化 Prompt 与 RAG 机制，搭建工具调用体系，保障智能体推理准确、执行高效。
3.MVP 快速交付：用 Python/TypeScript 及 Palantir Workshop 开发业务场景原型，完成与外部系统、大模型的集成。
4.数据治理与优化：处理非结构化数据并挂载至 Ontology，建立 Agent 性能监控，迭代优化本体结构与模型。
核心任职要求
1.学历背景：本科及以上，计算机、数学、数据科学等相关专业；优先有 Palantir 实战经验，3-5年企业级数据建模、AI 智能体开发经验。
2.必选技术：精通 Palantir Ontology 全链路实践；熟练掌握 Python，熟悉 TypeScript 优先；懂 LLM 原理，有 Agent 开发优化经验。
3.加分项：懂图论/知识图谱；具备全栈交付能力；了解 Palantir 权限体系；有 AI Agent/RAG、知识图谱0-1落地经验。
综合素质：能拆解业务需求、快速学习、跨团队沟通，责任心强，有架构思维和技术探索欲。",https://jobs.51job.com/beijing-hdq/171687247.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVjNWMgdnBD5SMQds.html
软件测试工程师（北京）,30000.0,20000.0,2-3万,全职,3年及以上,本科,,北京,,116.4829,40.125614,上海华虹集成电路,电子技术/半导体/集成电路,150-500人,国企,"3年及以上,本科,计算机,java,测试,微电子,自动化,软件测试,spi,测试方案,i2c,执行测试,五险一金,绩效奖金,交通补贴,餐饮补贴,免费班车,定期体检,补充医疗保险","岗位职责：
1.负责芯片固件、COS的测试工作；
2.根据固件技术手册/芯片技术手册等制定测试方案，开发测试COS/程序，搭建测环境，执行测试，对测试中出现的各种现象进行分析，并定位问题；
3.根据测试结果编写测试报告，对性能等测试数据的合理性进行分析，评估风险等；
4.探索测试方法，进行测试平台的设计和开发，提高测试效率；

任职要求：
1．计算机、自动化、微电子等相关专业，3年以上相关行业工作经历；
2. 有Java平台或金融应用测试经验；
3．掌握基本的测试理论和方法，具有2年以上嵌入式软件测试经验；
4．熟练掌握VB/C/python语言；
5．熟悉ARM芯片架构/安全算法/常用通讯接口（USB/SPI/I2C/SD等）
6．热爱软件测试工作，工作细致认真，有耐心。
7．拥有较好的沟通技巧及团队合作精神。",https://jobs.51job.com/beijing-cpq/171619271.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coCG8FaFcyDjQEYAxp.html
AI大模型算法工程师,35000.0,25000.0,2.5-3.5万·13薪,全职,3年及以上,硕士,,北京,,116.461722,39.920756,恩士迅信息科技（中国）,计算机软件,10000人以上,合资,"3年及以上,硕士,计算机,中间件,网络安全,人工智能,数据,功能实现,技术研发,计算机视觉,iot,数字化,周末双休","隶属于新加坡电信集团（Singtel Group）旗下的恩士迅（NCS），是亚太地区知名的技术服务提供商。自1981年成立以来，恩士迅（NCS）一直积极参与新加坡智慧国建设，并通过与政企的通力协作，持续推动社会进步，运用科技，改变世界。 恩士迅（NCS）汇聚了数十个专业领域的12,000余名卓越技术人才，凭借企业在数字化、数据、云和平台方面的 NEXT 能力以及应用、基础设施、工程和网络安全方面的核心能力，为客户量身定制具有竞争力、安全可靠的端到端技术解决方案与服务 NCS NEXT China AI 团队，专注于利用人工智能技术来为客户带来价值，和新加坡、墨尔本创新中心组成了NCS创新三角。主要专注于计算机视觉（CV）、大模型（LLM/VLM)、机器人（具身智能）、IOT等领域，驱动客户创新。目前有多个创新项目落地，包括智慧工厂、数字人、智能助理、ChatBot（聊天机器人）、智能推荐等方向； 工作生活平衡以及周末双休

职位详情：
 1.负责技术平台核心模块设计与开发，优化和落地计算机视觉以及GenAI算法，打造垂直领域标杆产品； 
2.负责图像分类、目标检测、参与预训练大模型的研发、微调和部署，包括功能实现、性能优化和实际应用；
 3.研究并跟踪最新的计算机视觉以及自然语言处理和生成式人工智能技术动态，结合实际业务场景开发与应用，实现技术与业务的共同发展；
 4.支持技术平台的中间件技术，提供专业的技术支持和指导。

任职要求：
 1.硕士及以上学历，计算机相关专业；
 2.具备5年以上计算机视觉算法设计、技术研发、应用和优化经验，具备2年以上大模型应用和优化经验； 
3.熟练掌握计算机视觉相关理论，熟悉ResNet、YOLO系列、熟悉自然语言处理相关理论，熟悉Transformer/BERT/GPT等基础模型结构，熟悉大模型的微调和评估方法础算法结构和检测框架，熟悉模型的训练和评估方法； 4.熟练掌握Python、Java、C/C++等编程语言中的至少一种，熟练掌握pytorch、tensorflow等深度学习框架，熟练掌握提示词工程相关算法，熟悉Agent相关算法；
 5.了解LLM相关技术； 
6.熟悉至少一种大模型调用框架，如LangChain, LangGraph, LlamaIndex等；
 7.具备较强的沟通及团队协作能力，有较强的学习和问题解决能力
8.有数学建模、最优化算法等经验者优先",https://jobs.51job.com/beijing-cyq/171655078.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coCGgAYl8_BjgDZwVvUzQ.html
5G Java开发工程师,24000.0,18000.0,1.8-2.4万·13薪,全职,3年及以上,本科,,北京,,116.406558,39.999395,中航科创,多元化业务集团公司,10000人以上,国企,"3年及以上,本科,计算机,java,mysql,spring,jquery,linux,测试,springboot,mybatis,springmvc,定期体检,通讯补贴,出差补贴,定期团建,年终奖金,绩效奖金,带薪年假,五险一金,包吃","岗位职责： 
1、负责5G小基站OMC软件前后端设计、开发和测试等工作；
2、负责问题的定位和解决；
3、负责5G小基站系统的联调；
任职要求： 
1、计算机、通信、软件工程等专业，本科及以上学历，三年以上工作经验；
2、精通Java语言基础，具有良好的编码习惯；
3、精通常用的数据结构和算法;
2、熟练使用Spring，SpringMVC，Mybatis, Jetty Server, Spark；
3、熟练使用SpringBoot, Springcloud，熟悉REST API接口开发；
4、熟练使用Mysql，redis；
5、熟练使用Docker容器的管理及分布式部署；
7、掌握 JavaScript，Ajax，jQuery，LayUI、Freemarker，vuejs，angularjs 等前端框架；
8、掌握 Linux 系统的常用命令，掌握常用软件的安装与应用；
9、掌握常用的设计模式;
9、熟练使用Idea、MyEclipse、Eclipse工具；
10、熟练使用Git，SVN， MAVEN 项目版本管理及构建工具；
11、有通信领域工作背景更佳。",https://jobs.51job.com/beijing/170274919.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAWVTP1YyVG8HYlQ0VDM.html
总装设备维修工程师,20000.0,12000.0,1.2-2万,全职,3年及以上,本科,,北京,,116.546738,39.729244,小米通讯技术,通信/电信运营、增值服务,10000人以上,民营,"3年及以上,本科,sop,调试,验收,电气自动化,设备安装,pm,tpm,西门子,设备导入,培训课件,培训","职位描述
1.负责设备台账、资料、程序、参数的管理、备份；
2.支持维修工现场紧急抢修，快速恢复设备；
3.负责设备持续升级改造及优化，新设备导入和技术调整；
4.负责设备疑难及高频问题跟踪解决；
5.负责设备备件的核对、提报、采购跟踪，使用管理；
6.编制培训课件,负责维修工培训及技能提升；
7.编制设备操作SOP、标定手册、体系文件等；
8.负责PM/TPM的编制与优化；
9.负责设备大修计划指定，设备改造方案指定，方案落实跟踪等；
10 .负责设备审核、预验收、验收；
11.负责设备软件的使用、升级、程序优化和参数修改；
12.负责设备安装、调试等问题跟踪和解决；
13.配合内外部审核。
职位要求
1. 本科及以上学历，电气自动化等相关专业；
2. 三年及以上整车主机厂总装维修工程师或调试工程师相关工作经验；
3. 熟悉总装加注、涂胶、EMS吊具，检测线设备，FUNAK机器人设备；
4. 熟悉西门子1500PLC及博图软件 熟悉西门子和SEW变频器；
5. 能适应倒班工作制。",https://jobs.51job.com/beijing/171139827.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coCW1dPVA3VWJSMFYwXDs.html
Web前端开发工程师（机器人应用方向）,15000.0,12000.0,1.2-1.5万,全职,1年及以上,本科,,北京,,116.294,39.949349,北京市农林科学院信息技术研究中心,农/林/牧/渔,150-500人,事业单位,"1年及以上,本科,计算机,java,css,html,javascript,vue,软件工程,app,react,前端框架,五险一金,做五休二,年终奖金,定期体检,绩效奖金,餐饮补贴,双休,带薪年假,周末双休,节日福利,职业规划,节假日福利","职位描述：
负责机器人远程操控系统的Web端与移动端（App）开发，打造稳定、流畅的交互界面。本岗位注重实践与成长，可提供硕士博士学位提升机会，匹配个人职业规划。
1.负责机器人远程操控平台的Web前端与移动端（App）开发，实现实时操控与数据可视化；
2.配合算法工程师完成算法服务的界面对接与功能集成；
3.参与前后端数据接口设计与服务部署，支持系统的全链路开发与优化；

任职要求：
技术能力
1.熟悉Web前端开发（HTML/CSS/JavaScript），掌握至少一种主流前端框架（Vue/React/Angular等）；
2.了解移动端开发（Uni-app/React Native/Flutter等跨平台技术之一），有相关经验者优先；
3.了解至少一种后端语言（如Python/Node.js/Java等），有学习意愿和实践能力；
4.具备基本的数据交互知识（如HTTP/WebSocket），能与后端协作完成功能开发；
5.对新技术有兴趣，愿意尝试AI辅助工具提升开发效率。

综合素质
1.本科及以上学历，计算机、软件工程、物联网等相关专业优先，也欢迎能力匹配的自学成才者；
2.强烈的技术热情和自驱力，乐于在挑战性场景中推动技术落地；
3.良好的团队协作与沟通能力，能够跨团队推动项目进展。
4.特别优秀者薪资可面议。

联系方式：请将邮件发送指定邮箱，我们会尽快与您联系！",https://jobs.51job.com/beijing/169788817.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coA2cFZFU_U2pSMlYwAmU.html
软件架构师（NVIDIA 全栈）,40000.0,25000.0,2.5-4万,全职,2年及以上,本科,,北京,,116.317501,40.033285,苏州超集信息科技,计算机服务(系统、数据服务、维修),150-500人,外资（欧美）,"2年及以上,本科,计算机,方案设计,数学,物理,ai,仿真,k8s,sdk,vmware,技术调研","岗位职责：
1.客户互动与赋能： 面向企业客户与云服务商主导技术调研、白板设计、演示与工作坊，输出以业务价值为导向的方案。
2.方案设计： 交付覆盖 数据→训练→推理→运维 的参考架构，充分利用 NVAIE、CUDA-X 库/SDK、Triton/TensorRT、RAPIDS、NeMo/NIM、Omniverse、AI Workbench；结合 AceleMax® 与 LiquidMax®。
3.PoC 与原型： 构建/交付 PoC，验证性能、成本、安全与可运维性，形成决策与规模化路径。
4.性能优化： 在 H200/B200/B300、RTX PRO 6000 等架构上剖析并优化 AI/ML/DL/HPC 负载（吞吐/时延/利用率/成本）。
5.编排与治理： 基于 Run:ai 实现 GPU 调度与策略；构建 K8s/OpenShift/Tanzu 原生 MLOps（Kubeflow/MLflow/Argo），完善可观测与合规治理。
6.虚拟化与 VDI： 设计多租户安全环境（NVIDIA vGPU：vApps/vPC/vWS、VMware/Citrix/Red Hat）并集成企业身份与访问控制。
7.数字孪生与仿真： 部署 Omniverse Enterprise（Nucleus/OVX） 支持 USD 协同、物理真实仿真与行业孪生场景。
8.跨部门协作：与销售/产品/工程协同完成需求澄清、SOW 与高层简报。
任职资格：
1.计算机、电子工程、数学、物理或相关专业 本科/硕士。
2.2–3 年以上技术岗位经验（解决方案工程师、开发、架构师等）。
3.熟悉 PyTorch / TensorFlow 与 Hugging Face 工作流；精通 Python 与 Linux；掌握 Git。
4.容器与 MLOps：Docker、Kubernetes（OpenShift/Tanzu 其一）、CI/CD、制品库；了解 Terraform/Helm 更佳。
5.NVIDIA 生态（有经验者优先）：NVIDIA AI Enterprise、CUDA、Triton、TensorRT、RAPIDS、NeMo、NIM、AI Workbench、Omniverse、Run:ai、vGPU。
6.平台/基础设施：VMware vSphere、GPU 虚拟化与监控（DCGM/Prometheus/Grafana），具备 NVMe、RoCE/InfiniBand 等基础。
7.公有云：具备 AWS/Azure/GCP 至少一种的混合/多云落地经验。
8.出色的演示与沟通能力，能向技术与管理层清晰阐述复杂方案。
9.以客户为中心，结果导向，具备结构化问题求解与文档化能力。
10.能并行管理多项目并如期交付。",https://jobs.51job.com/beijing-hdq/169406203.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coUzdcOlE6Bj8AYlA0B2A.html
北京--通信产品行业销售经理,30000.0,15000.0,1.5-3万·13薪,全职,2年及以上,本科,,北京,,116.230998,39.950715,深圳市腾远智拓电子,通信/电信/网络设备,50-150人,民营,"2年及以上,本科,销售,计算机,电子,营销,通信,通信行业,销售资源,海事,自组织,数据链,员工旅游,带薪年假,交通补贴,节日福利,五险,双休,节假日福利,提成,免费食宿","岗位职责
1、完成年度销售目标。
2、根据业务发展需要，建立和拓展本行业高端客户关系，构建长期伙伴关系，管理客户资源,夯实项目储备。
任职要求
1、25-35岁，本科及以上学历，通信、电子、计算机、营销类专业优先；
2、2年及以上相关经验，有通信行业相关从业经验、具备BD、研究所、应急救灾、公共安全、森林防火、平安城市、海事等行业的相关销售资源，具备以上行业高层攻关或项目运作经验优先；
3、Mesh自组网通信销售、数据链专网通信销售经验，无人机上下游相关单位资源优先；
4、具有较强的沟通、协调和推动能力，较强的成就导向，能适应出差。
5、具有团队合作精神，认可公司企业文化，服从公司安排。",https://jobs.51job.com/beijing-hdq/169294808.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coVTEAZQBrATxSPgRiVjE.html
售前技术顾问（北京、沈阳、成都）,18000.0,12000.0,1.2-1.8万·13薪,全职,5年及以上,本科,,北京,,116.190339,39.950546,南京国睿信维软件,计算机软件,,国企,"5年及以上,本科,市场拓展,计算机,ppt,自动化,投标,方案设计,软件工程,售前,技术方案,技术交流","岗位职责：
1、负责PLM(产品生命周期管理),MPM(制造过程管理), TDM(产实验数据管理)等工业软件的售前技术支持，包括客户需求调研，方案设计及技术交流；
2、负责撰写售前技术文档，标书及技术方案，确保方案符合客户需求并具有竞争力；
3、负责准备并进行PPT汇报，向客户讲解PLM/MPM相关解决方案，支持销售团队进行市场拓展和业务推进；
4、负责深入分析客户业务需求，提供专业的咨询建议，结合公司产品及技术能力制定合理的实施方案；
5、负责熟悉市场上主流PLM/MPM软件(如Windchill,
Teamcenter(TC),3DEXPERIENCE(3DE)等)，并能进行对比分析，挖掘产品优势，制定竞争策略；
6、负责投标相关技术文件的编写，标书制作及现场答辩，协助商务团队完成投标工作；
7、充分了解国产PLM平台的发展趋势，跟踪国产PLM的技术演进和市场动态，结合公司业务需求制定合适的国产化适配方案。
任职要求：
1、本科及以上学历，计算机，机械工程，自动化，软件工程或相关专业优先；
2、5年及以上PLM领域售前工作经验，主导过大型项目售前工作优先；
3、熟悉主流PLM/MPM系统，如Windchill,Teamcenter(TC),3DEXPERIENCE(3DE)等，了解其核心功能和应用场景；
4、充分了解国产PLM平台的发展趋势，熟悉国内PLM解决方案的特点，生态和市场格局；
5、具有良好的团队合作精神，能与销售，研发，实施团队紧密配合，推动项目落地。",https://jobs.51job.com/beijing-sjsq/171367322.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coUT9TMVE6ADoEZQNoAG0.html
DS1110交付经理（北京）,18000.0,15000.0,1.5-1.8万,全职,3年及以上,本科,,北京,,116.434446,39.912807,上海迪爱斯信息技术,通信/电信/网络设备,500-1000人,国企,"3年及以上,本科,计算机,java,电子,项目管理,需求调研,软件开发,通信,c#,质量管理体系,面向对象,培训","岗位职责：
1) 负责项目交付管理工作；
2) 负责项目需求调研及管理；
3) 负责编写需求规格说明书、确定项目范围、制订项目计划；
4) 负责推进项目质量问题的处理；
5) 负责完成项目实施和最终验收；
6) 负责把关项目的资料输入质量，审核输出系统的完备性和功能的完备性；
7) 负责项目履行过程中与用户、供应商、集成商、公司其它部门关于公司自主产品技术问题的协调沟通；
8) 负责项目履行过程中需求变更确认和控制。
任职要求：
1．教育程度：计算机、通信、电子等相关专业本科及以上学历。
2．经验水平：
1) 具有3年以上软件开发工作经验；
2) 具有1年以上软件项目管理经验；
3．业务知识：
1) 掌握项目管理知识；
2) 熟练使用项目开发管理系统；
3) 熟悉C#/JAVA等主流开发工具及面向对象的分析和设计技术；
5．其他：
1) 良好的书面、口头表达能力；
2) 良好的组织协调能力；
3) 可长期出 差；
4) 熟悉ISO9000、CMM等质量管理体系尤佳。",https://jobs.51job.com/beijing-dcq/171177970.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coUTZWMgVnUm8BZwJiBWELMA.html
Java开发（北京）-项目驻场,20000.0,12000.0,1.2-2万,全职,3年及以上,本科,,北京,,116.316642,39.990494,武汉市胜意科技发展,计算机软件,500-1000人,民营,"3年及以上,本科,计算机,java,oracle,springboot,项目管理,开发,团队管理,springcloud,mysql数据库,文档编写,五险一金,年终奖金,股票期权,定期体检,培训,能力优先,团队建设,团队氛围,职业发展,节假日福利,超长春节假期,周末双休,研发项目奖金,食堂福利,员工旅游","岗位职责：
1、负责公司软件产品的需求、分析、设计及核心代码的编码工作
2、协同项目经理参与立项及计划工作，与产品经理沟通需求，并根据概要设计的要求进行模块的详细设计与核心代码实现
3、负责项目的开发工作根据公司及项目要求编写相应的技术文档、培训文档等
4、跟踪、收集和吸收本行业技术发展信息和产品信息，并实现与同事的交流与共享
5、协助项目经理整个项目团队的开发进度、风险评估，有意愿往团队管理方向发展，对于团队管理有自己的认识及理解并可高效的执行落地

任职要求：
1．全日制本科，计算机相关专业，具有较好的逻辑思维能力和文档编写能力优先；
2．Java基础牢固，熟悉多线程技术、并发编程技术，有一定UI前端开发技能，具备常规页面开发能力；
3．熟练掌握SpringBoot，SpringCloud，分布式架构技术等；
4．可以熟练地将设计原则、设计模式、应用于代码实践；
5．具备3年以上的产品研发和项目研发经验，要求熟悉Oracle、Mysql数据库；
6．有良好的编码规范，可以按照阿里开发规范进行编码；熟悉软件系统的重构理论，并且有实践经验；
7．有过项目管理的经验者优先；有过带领小型技术团队的优先。
8. 接受项目驻场，非外包，年底最后2周回来武汉总部培训+年会。",https://jobs.51job.com/beijing-hdq/171034742.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coCW1TMARkBzkFYARgXDs.html
嵌入式平台软件研发工程师,,,20-40万/年,全职,2年,本科,,北京,,116.294864,40.204092,中电普瑞电力工程,电气/电力/水利,500-1000人,国企,"2年,本科,单片机,linux,计算机,电力能源,周末双休,带薪年假,五险一金,免费班车,专业培训,节日福利,餐饮补贴,补充医疗保险,年终奖金,年度体检","岗位职责：
1．负责交直流电力电子产品控保、阀控平台软件设计，包括可视化功能模块设计、程序架构设计维护等相关工作。
2．负责控保、阀控平台相关文档编制、校核等工作。
3．负责分析解决控保、阀控系统各种调试或实验、工程运行中出现的问题。
4．负责相关项目的科技报告编制，完成程序、开发资料的归档工作等。
任职要求：
	学历	本科及以上
	专业	电力系统及其自动化、电力电子与电力传动、电气工程、电气工程与信息技术、电子信息、自动控制
	工作经验	1)	具有2年以上相关工作经验
2)	具有电力系统、电力电子控制保护系统平台软件开发经验
3)	具有嵌入式软件C语言编程经验、可视化模块编程经验
4)	具有matlab\pscad电力系统仿真软件使用经验等
5)	电力电子产品开发或仿真经验者优先考虑。
专业技能：
1)	熟悉电力电子产品控制算法、熟悉电力系统继电保护相关知识及保护原理等; 
2)	熟悉C语言、VHDL/Verilog语言的应用，具有至少一种DSP软件开发经历。
3)	搭建PSCAD\Matlab模型，熟练使用PSCAD\Matlab等电力系统仿真工具，有电力电子产品仿真经验者优先
4)	掌握电路基础理论知识；了解基本数字/模拟电路和元件的原理和应用。
5)	具有DSP\ARM等平台驱动编写或嵌入式软件架构搭建者优先考虑。
6)	具有电力产品控制保护装置主流可视化平台搭建、可视化模块开发经验者优先考虑。",https://jobs.51job.com/beijing-cpq/140138002.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAmEAYwdjU2QAYlQzUDw.html
机器视觉与具身智能工程师,16000.0,8000.0,8千-1.6万,全职,1年,本科,,北京,,116.284343,40.103353,北京生命科学研究所,制药/生物工程,500-1000人,事业单位,"1年,本科,计算机,自动化,深度学习,机器视觉,opencv,目标检测,视觉识别,ros2,pytorch,机器人","●核心任务： 基于深度学习的视觉识别、目标检测、行为分析算法的开发与落地，实现机器人在非结构化场景下的视觉伺服与高精度操作。
●技术栈： PyTorch, OpenCV, ROS2, PointCloud, 深度相机集成等。
●我们寻找： 本科及以上学历，自动化、机器人、计算机等相关专业；有机器视觉、Sim-to-Real 迁移经验者优先。",https://jobs.51job.com/beijing-cpq/170884656.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAWRWOgdkBjwGZwZjXTE.html
技术支持工程师（北京）,10000.0,7000.0,7千-1万,全职,3年及以上,本科,,北京,,116.407503,39.873411,深圳市瑞意博信息技术,医疗设备/器械,150-500人,民营,"3年及以上,本科,计算机,电子,调试,维修,售后,机电,安装,售后技术服务,现场检验,现场服务,五险一金,交通补贴,餐饮补贴,专业培训","岗位职责：
1、负责公司产品（智能药柜、耗材柜等）安装、调试、维修、保修、售后等工作，对产品出现问题的能具有分析并解决；
2、协助品质部对产品进行现场检验，记录问题及解决方案；
3、负责产品的售后技术服务工作，接听报修电话，远程指导客户处理简单故障；
4、适应出差。
岗位要求：
1、统招本科及以上学历，机电或电子或计算机等相关专业；
2、有软件及硬件安装3年以上工作经验；
3、需具有很强的组织、领导、沟通协调能力，可应对突发事件；
4、具备专业的现场服务能力。",https://jobs.51job.com/beijing-dcq/152122044.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coBmdUNFI5BTwEZABjAWE.html
云运维驻场工程师,8000.0,6000.0,6-8千,全职,1年及以上,大专,,北京,,116.269968,40.107305,上海汉盛信息科技,计算机服务(系统、数据服务、维修),150-500人,民营,"1年及以上,大专,计算机,通信,客户沟通,认证,文档管理,华为云,技术接口,知识传递,信息安全,现场技术支持,五险一金,补充医疗保险,餐饮补贴,通讯补贴,定期体检,节日福利,公司年假","岗位职责：
1、有华为云服务经验或华为云相关认证
项目交付与实施：协助客户完成项目的交付和实施工作。
2、情商比较高，客户关系与沟通：作公司与客户之间的技术接口人，提供现场技术支持，解答客户的技术问题。
定期与客户沟通，收集反馈，及时响应客户需求，提升客户满意度。
3、文档管理与知识传递：负责维护客户设备及产品的配置信息，确保文档的准确性和完整性。。
4、领导安排的其他工作
任职资格：
1.专科及以上学历，可考虑应届生
3.计算机、通信、信息安全相关专业优先
4.一年及以上工作经验
5.具备良好的沟通能力和团队合作精神，能够快速学习新技术，适应客户现场的工作环境。
6.驻场北京",https://jobs.51job.com/beijing-dcq/171393158.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAGdRPAdsU2UGalE7VDE.html
上位机开发（C++/QT）,15000.0,12000.0,1.2-1.5万,全职,3年及以上,本科,,北京,,116.348625,39.732555,北京万联达信科仪器,医疗设备/器械,,民营,"3年及以上,本科,计算机,linux,医疗器械,c++,医疗器械行业,界面设计,系统集成,技术文档,用户体验,centos","【工作内容】
- 负责医疗器械相关软件的开发与维护，使用QT框架进行界面设计与功能实现；
- 参与产品需求分析，配合硬件团队完成系统集成与调试；
- 编写技术文档，确保代码规范与可维护性；
- 持续优化软件性能，提升用户体验和系统稳定性。
关键词：
熟悉Linux平台开发；熟练使用C/C++编程；熟练使用QT框架进行界面开发

【任职要求】
- 本科及以上学历，计算机、电子工程或相关专业；
- 具备3年以上QT开发经验，熟悉C++语言；熟悉Linux操作系统，了解Ubuntu、CentOS等Linux发行版
- 熟悉使用QT进行跨平台开发
- 熟悉医疗器械行业者优先，了解相关法规及标准；
- 具备良好的沟通能力和团队协作精神，责任心强。",https://jobs.51job.com/beijing-dxq/170729679.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coAGdRNQJgVWlUNVM2XDkKOQ.html
信息化运维工程师—甲方实施,15000.0,10000.0,1-1.5万·14薪,全职,1年及以上,本科,,北京,,116.310727,39.829109,北京中亦安图科技,计算机服务(系统、数据服务、维修),500-1000人,民营,"1年及以上,本科,培训,计算机,办公软件,excel,项目管理,sql,word,ppt,需求调研,项目实施,培训,五险一金,补充医疗保险,通讯补贴,年终奖金","工作职责
1、负责信息化系统运维工作，跟进解决业务在信息化系统使用时遇到的具体问题，包括系统权限配置、流程调整、数据调整、咨询答疑及培训，确保系统的稳定性和可靠性。
2、负责应用系统相关的需求调研、分析，撰写需求文档、原型等；组织需求讨论、评估、需求实施及跟进，确保需求高质量完成。
3、根据应用系统应用效果及业务发展状况，提前发现可能因系统问题而中断业务衔接的风险点。同时收集各部门对系统的业务需求，跟踪和评估新的技术和解决方案，提高系统的效率和用户体验。
4、具有一定的项目管理经验，参与信息化系统项目建设，协同内部业务部门及外部供应商紧密沟通，推动项目实施。
5、完成上级交办的其他工作。
任职资格
1、学历要求计算机相关专业本科及以上，1年及以上工作经验；
2、具有中大型企事业单位甲方信息化建设项目经验、涉密信息化项目等相关领域经验者优先；
3、熟练使用Office 办公软件，尤其是WORD、 EXCEL、PPT，有一定的总结分析能力。
4、有良好的系统分析与设计思路，有很强的逻辑分析能力，具备优秀的沟通能力、跨部门协作能力；
5、熟悉Visio、思维导图等常用工具；
6、能看懂基础SQL，可通过日志排查问题等
7、抗压能力强，对工作有责任心、能积极主动完成工作，具备良好的服务精神及团队合作能力。",https://jobs.51job.com/beijing-ftq/168768130.html?s=sou_sou_soulb&t=0_0&req=ca0ebd06b4037641eb334b6ec19c9729,https://jobs.51job.com/all/coUTUCZwdtDjUBbVEyVjs.html
